"TL","Echelle de Territoire et Typologie","REG_ID","Région","VAR","Indicateur","SEX","Genre","POS","Position","TIME","Année","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Grandes régions (TL2)","FR1","Île-de-France","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","T","Total","ALL","Toutes les régions","2005","2005","100000HAB","Pour 100 000 habitants","0","Unités",,,6.162,,
"2","Grandes régions (TL2)","FR1","Île-de-France","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","F","Femmes","ALL","Toutes les régions","2004","2004","100000HAB","Pour 100 000 habitants","0","Unités",,,0.38,,
"2","Grandes régions (TL2)","FR1","Île-de-France","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","F","Femmes","ALL","Toutes les régions","2005","2005","100000HAB","Pour 100 000 habitants","0","Unités",,,5.947,,
"2","Grandes régions (TL2)","FR1","Île-de-France","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","F","Femmes","ALL","Toutes les régions","2007","2007","100000HAB","Pour 100 000 habitants","0","Unités",,,0.37,,
"2","Grandes régions (TL2)","FR1","Île-de-France","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","F","Femmes","ALL","Toutes les régions","2012","2012","100000HAB","Pour 100 000 habitants","0","Unités",,,0.31,,
"2","Grandes régions (TL2)","FR1","Île-de-France","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","F","Femmes","ALL","Toutes les régions","2013","2013","100000HAB","Pour 100 000 habitants","0","Unités",,,5.874,,
"2","Grandes régions (TL2)","FR1","Île-de-France","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","M","Hommes","ALL","Toutes les régions","2009","2009","100000HAB","Pour 100 000 habitants","0","Unités",,,6.16,,
"2","Grandes régions (TL2)","FRB","Centre - Val de Loire","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","F","Femmes","ALL","Toutes les régions","2011","2011","100000HAB","Pour 100 000 habitants","0","Unités",,,0.27,,
"2","Grandes régions (TL2)","FRB","Centre - Val de Loire","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","M","Hommes","ALL","Toutes les régions","2005","2005","100000HAB","Pour 100 000 habitants","0","Unités",,,0.341,,
"2","Grandes régions (TL2)","FRC","Bourgogne-Franche-Comté","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","T","Total","ALL","Toutes les régions","2002","2002","100000HAB","Pour 100 000 habitants","0","Unités",,,10.006,,
"2","Grandes régions (TL2)","FRC","Bourgogne-Franche-Comté","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","T","Total","ALL","Toutes les régions","2005","2005","100000HAB","Pour 100 000 habitants","0","Unités",,,9.804,,
"2","Grandes régions (TL2)","FRC","Bourgogne-Franche-Comté","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","M","Hommes","ALL","Toutes les régions","2001","2001","100000HAB","Pour 100 000 habitants","0","Unités",,,10.558,,
"2","Grandes régions (TL2)","FRC","Bourgogne-Franche-Comté","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","M","Hommes","ALL","Toutes les régions","2003","2003","100000HAB","Pour 100 000 habitants","0","Unités",,,0.52,,
"2","Grandes régions (TL2)","FRC","Bourgogne-Franche-Comté","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","M","Hommes","ALL","Toutes les régions","2004","2004","100000HAB","Pour 100 000 habitants","0","Unités",,,10.236,,
"2","Grandes régions (TL2)","FRC","Bourgogne-Franche-Comté","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","M","Hommes","ALL","Toutes les régions","2014","2014","100000HAB","Pour 100 000 habitants","0","Unités",,,0.345,,
"2","Grandes régions (TL2)","FRC","Bourgogne-Franche-Comté","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","M","Hommes","ALL","Toutes les régions","2015","2015","100000HAB","Pour 100 000 habitants","0","Unités",,,10.735,,
"2","Grandes régions (TL2)","FRD","Normandie","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","T","Total","ALL","Toutes les régions","2006","2006","100000HAB","Pour 100 000 habitants","0","Unités",,,8.871,,
"2","Grandes régions (TL2)","FRD","Normandie","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","F","Femmes","ALL","Toutes les régions","2006","2006","100000HAB","Pour 100 000 habitants","0","Unités",,,8.301,,
"2","Grandes régions (TL2)","FRD","Normandie","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","F","Femmes","ALL","Toutes les régions","2006","2006","100000HAB","Pour 100 000 habitants","0","Unités",,,0.33,,
"2","Grandes régions (TL2)","FRD","Normandie","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","M","Hommes","ALL","Toutes les régions","2002","2002","100000HAB","Pour 100 000 habitants","0","Unités",,,0.516,,
"2","Grandes régions (TL2)","FRD","Normandie","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","M","Hommes","ALL","Toutes les régions","2003","2003","100000HAB","Pour 100 000 habitants","0","Unités",,,9.84,,
"2","Grandes régions (TL2)","FRD","Normandie","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","M","Hommes","ALL","Toutes les régions","2007","2007","100000HAB","Pour 100 000 habitants","0","Unités",,,9.701,,
"2","Grandes régions (TL2)","FRD","Normandie","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","M","Hommes","ALL","Toutes les régions","2009","2009","100000HAB","Pour 100 000 habitants","0","Unités",,,0.44,,
"2","Grandes régions (TL2)","FRD","Normandie","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","M","Hommes","ALL","Toutes les régions","2015","2015","100000HAB","Pour 100 000 habitants","0","Unités",,,10.352,,
"2","Grandes régions (TL2)","FRE","Hauts-de-France","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","F","Femmes","ALL","Toutes les régions","2002","2002","100000HAB","Pour 100 000 habitants","0","Unités",,,0.38,,
"2","Grandes régions (TL2)","FRE","Hauts-de-France","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","F","Femmes","ALL","Toutes les régions","2003","2003","100000HAB","Pour 100 000 habitants","0","Unités",,,8.677,,
"2","Grandes régions (TL2)","FRE","Hauts-de-France","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","M","Hommes","ALL","Toutes les régions","2005","2005","100000HAB","Pour 100 000 habitants","0","Unités",,,0.416,,
"2","Grandes régions (TL2)","FRE","Hauts-de-France","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","M","Hommes","ALL","Toutes les régions","2010","2010","100000HAB","Pour 100 000 habitants","0","Unités",,,0.342,,
"2","Grandes régions (TL2)","FRF","Grand Est","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","T","Total","ALL","Toutes les régions","2004","2004","100000HAB","Pour 100 000 habitants","0","Unités",,,8.346,,
"2","Grandes régions (TL2)","FRF","Grand Est","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","T","Total","ALL","Toutes les régions","2011","2011","100000HAB","Pour 100 000 habitants","0","Unités",,,0.317,,
"2","Grandes régions (TL2)","FRF","Grand Est","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","F","Femmes","ALL","Toutes les régions","2015","2015","100000HAB","Pour 100 000 habitants","0","Unités",,,0.31,,
"2","Grandes régions (TL2)","FRF","Grand Est","YOU_DEATH_RA","      Taux de mortalité des jeunes (décès des 0-14 ans pour 1000 habitants de la même tranche d'âge)","M","Hommes","ALL","Toutes les régions","2006","2006","100000HAB","Pour 100 000 habitants","0","Unités",,,0.475,,
"2","Grandes régions (TL2)","FRF","Grand Est","DEATH_RA","      Taux de mortalité (décès pour 1000 habitants)","M","Hommes","ALL","Toutes les régions","2007","2007","100000HAB","Pour 100 000 habitants","0","Unités",,,8.851,,
