"TL","Echelle de Territoire et Typologie","REG_ID","Région","VAR","Indicateur","SEX","Genre","POS","Position","TIME","Année","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"3","Petites régions (TL3)","FR103","Yvelines","NETMOB_ALL","      Nouveaux résidents dans la région en provenance d'une autre région du même pays","T","Total","ALL","Toutes les régions","2015","2015",,,"0","Unités",,,-7673,,
"3","Petites régions (TL3)","FR104","Essonne","NETMOB_ALL_RA","      Taux de mobilité nette inter-régional (% flux net sur population totale)","T","Total","ALL","Toutes les régions","2013","2013",,,"0","Unités",,,-0.23,,
"3","Petites régions (TL3)","FR104","Essonne","NETMOB_ALL_RA","      Taux de mobilité nette inter-régional (% flux net sur population totale)","T","Total","ALL","Toutes les régions","2015","2015",,,"0","Unités",,,-0.29,,
"3","Petites régions (TL3)","FR105","Hauts-de-Seine","NETMOB_ALL_RA","      Taux de mobilité nette inter-régional (% flux net sur population totale)","T","Total","ALL","Toutes les régions","2013","2013",,,"0","Unités",,,-0.28,,
"3","Petites régions (TL3)","FR105","Hauts-de-Seine","NETMOB_ALL_RA","      Taux de mobilité nette inter-régional (% flux net sur population totale)","T","Total","ALL","Toutes les régions","2014","2014",,,"0","Unités",,,-0.27,,
"3","Petites régions (TL3)","FR105","Hauts-de-Seine","NETMOB_ALL_RA","      Taux de mobilité nette inter-régional (% flux net sur population totale)","T","Total","ALL","Toutes les régions","2015","2015",,,"0","Unités",,,-0.34,,
"3","Petites régions (TL3)","FR106","Seine-Saint-Denis","YOUNGMOB_SH","      Part de jeunes nouveaux résidents (% jeunes arrivants sur le total des nouveaux arrivants d'une autre région)","T","Total","ALL","Toutes les régions","2013","2013",,,"0","Unités",,,40,,
"3","Petites régions (TL3)","FR108","Val-d'Oise","OUTMOB_ALL","      Personnes ayant quitté la région pour aller dans une autre région du même pays","T","Total","ALL","Toutes les régions","2013","2013",,,"0","Unités",,,41056,,
"3","Petites régions (TL3)","FR108","Val-d'Oise","OUTMOB_ALL","      Personnes ayant quitté la région pour aller dans une autre région du même pays","T","Total","ALL","Toutes les régions","2014","2014",,,"0","Unités",,,41434,,
"3","Petites régions (TL3)","FR108","Val-d'Oise","OUTMOB_ALL","      Personnes ayant quitté la région pour aller dans une autre région du même pays","T","Total","ALL","Toutes les régions","2015","2015",,,"0","Unités",,,41836,,
